"id","name","total_time"
28,"Omar Aegir Olafsson",90
33,"Hlynur Hjartarson",90
34,"Eyrun Inga Thordardottir",90
37,"Sigurdur Aegir Hauksson",90
41,"Jokull Gunnarsson",90
42,"Sveinn Tristan Sigurdarson",90
43,"Haraldur Tomas Ornolfsson",90
56,"Helga Gudfinna Asgeirsdottir",90
61,"Haraldur Halldorsson",90
62,"Harpa Sif Bjarnadottir",90
64,"Andri Tristan Thorsteinsson",90
68,"Bjarni Mar Asgeirsson",90
70,"Kolbrun Eik Skuladottir",90
86,"Thorhildur Sigurjonsdottir",90
87,"Thordur Snaer Arason",90
112,"Bjarni Kristjansson",90
120,"Brynjar Asmundsson",90
145,"Hildur Hreidarsdottir",90
154,"Asta Yr Jonsdottir",90
162,"Snorri Arason",90
175,"Vigdis Kristinsdottir",90
180,"Katrin Hronn Baldursdottir",90
181,"David Vidar Benediktsson",90
184,"Elin Run Steindorsdottir",90
189,"Olof Gudfinna Hreidarsdottir",90
193,"Gudmundur Mani Gudmundsson",90
206,"Gisli Hlodversson",90
208,"Eyglo Bjork Kristmundsdottir",90
212,"Leifur Runar Arason",90
213,"Thordur Hallgrimsson",90
215,"Geir Tomas Thorsson",90
216,"Hulda Ros Kristinsdottir",90
217,"Jonatan Breki Davidsson",90
224,"Katrin Valdimarsdottir",90
228,"Petur Steinn Thorisson",90
230,"Egill Mar Birgisson",90
231,"Gudny Birta Jonsdottir",90
232,"Katrin Bjorgvinsdottir",90
237,"Dora Gudbjornsdottir",90
238,"Jona Sol Baldursdottir",90
241,"Hafdis Hlin Bergsdottir",90
242,"Steinunn Sveinsdottir",90
244,"Kristjan Halldorsson",90
245,"Ingibjorg Eiriksdottir",90
247,"Thordur Johannsson",90
254,"Rakel Larusdottir",90
255,"Hulda Benediktsdottir",90
256,"Valdimar Hjartarson",90
258,"Solveig Yr Baldursdottir",90
262,"Aldis Hlin Ingolfsdottir",90
264,"Soffia Osk Ingolfsdottir",90
265,"Alda Hronn Larusdottir",90
268,"Gudny Birta Aradottir",90
269,"Aron Torfi Bjarnason",90
275,"Baldur Tristan Jonsson",90
279,"Baldvin Vidar Arason",90
281,"Katrin Run Thorvaldsdottir",90
294,"Thordis Kristinsdottir",90
296,"Gudridur Yr Palsdottir",90
298,"Gudni Mani Vilhjalmsson",90
303,"Eyglo Bergsdottir",90
307,"Jorunn Birta Jonsdottir",90
310,"Kristinn Kristinsson",90
315,"Johann Benediktsson",90
326,"David Breki Sigurdsson",90
329,"Anna Ros Johannesdottir",90
339,"Gudrun Bjork Bergsdottir",90
346,"Leifur Steinn Thorleifsson",90
365,"Baldur Steinarsson",90
